epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4952.5,1.21878,1.19297,1.36809,0.54665,0.43764,0.48902,0.3318,1.20186,1.13368,1.3436,0.005743,0.005743,0.005743
45,5063.64,1.20551,1.18789,1.3623,0.5481,0.44018,0.48833,0.33338,1.19834,1.12504,1.33445,0.005644,0.005644,0.005644
46,5174.85,1.21037,1.20524,1.36821,0.5285,0.4746,0.50376,0.34651,1.18587,1.11407,1.34071,0.005545,0.005545,0.005545
47,5286.07,1.21097,1.19017,1.36212,0.56835,0.44338,0.50645,0.3504,1.18126,1.07635,1.33228,0.005446,0.005446,0.005446
48,5397.09,1.21631,1.17267,1.35988,0.54896,0.4603,0.49548,0.33643,1.18807,1.10741,1.3351,0.005347,0.005347,0.005347
49,5508.33,1.22059,1.16186,1.35945,0.56157,0.44299,0.49816,0.33779,1.19634,1.10227,1.33274,0.005248,0.005248,0.005248
50,5619.3,1.19326,1.15575,1.34601,0.55417,0.4668,0.51167,0.34765,1.1961,1.09644,1.33508,0.005149,0.005149,0.005149
51,5730.43,1.19787,1.14919,1.34852,0.57889,0.44115,0.51164,0.34973,1.18257,1.08828,1.32126,0.00505,0.00505,0.00505
52,5841.61,1.19982,1.14499,1.3501,0.57949,0.4535,0.51161,0.34753,1.19606,1.09295,1.33248,0.004951,0.004951,0.004951
53,5952.56,1.19683,1.14495,1.34686,0.56716,0.44675,0.51636,0.35617,1.18675,1.07181,1.31521,0.004852,0.004852,0.004852
54,6063.67,1.19336,1.13583,1.34759,0.56236,0.43938,0.49527,0.33889,1.18261,1.09474,1.32413,0.004753,0.004753,0.004753
55,6174.77,1.18576,1.11518,1.3382,0.56992,0.44537,0.50215,0.344,1.18358,1.08387,1.31921,0.004654,0.004654,0.004654
