epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7424.35,1.16657,1.04745,1.31687,0.58749,0.46034,0.52284,0.36106,1.15867,1.02931,1.29892,0.005842,0.005842,0.005842
44,7596.37,1.15349,1.0319,1.31036,0.57786,0.4532,0.5146,0.3559,1.17008,1.04692,1.31182,0.005743,0.005743,0.005743
45,7768.03,1.14511,1.02861,1.30833,0.62772,0.45583,0.53817,0.36921,1.16534,1.01761,1.2961,0.005644,0.005644,0.005644
46,7939.85,1.14745,1.03727,1.31114,0.57957,0.49471,0.53818,0.37067,1.15994,1.01679,1.29409,0.005545,0.005545,0.005545
47,8111.57,1.14818,1.01725,1.30415,0.57375,0.47484,0.52861,0.36858,1.15427,1.00478,1.2963,0.005446,0.005446,0.005446
48,8283.59,1.14847,1.00456,1.29937,0.59232,0.48019,0.53998,0.37447,1.14598,1.00085,1.2852,0.005347,0.005347,0.005347
49,8456.01,1.15595,1.00375,1.30296,0.59335,0.47002,0.53284,0.36524,1.16508,1.00557,1.29703,0.005248,0.005248,0.005248
50,8628.17,1.12683,0.99005,1.28869,0.58118,0.48825,0.53963,0.37079,1.16482,1.01499,1.30875,0.005149,0.005149,0.005149
51,8800.43,1.13104,0.98601,1.29402,0.61079,0.48005,0.55077,0.38437,1.13389,0.9848,1.27789,0.00505,0.00505,0.00505
52,8972.37,1.12899,0.97875,1.28941,0.59399,0.4974,0.54687,0.37719,1.16039,0.99524,1.29473,0.004951,0.004951,0.004951
53,9144.06,1.12823,0.98434,1.29304,0.59468,0.48966,0.55187,0.38466,1.14853,0.97894,1.2843,0.004852,0.004852,0.004852
54,9315.86,1.12465,0.96892,1.28793,0.60736,0.4535,0.52804,0.37149,1.13689,1.00322,1.28384,0.004753,0.004753,0.004753
55,9487.98,1.11724,0.95506,1.28094,0.60153,0.47928,0.54989,0.38081,1.14533,0.97922,1.28147,0.004654,0.004654,0.004654
56,9660.2,1.11511,0.94752,1.27901,0.60216,0.49324,0.55219,0.38412,1.14598,0.97725,1.28148,0.004555,0.004555,0.004555
57,9832.56,1.11073,0.94217,1.27576,0.6204,0.5077,0.55765,0.38824,1.14262,0.96918,1.27776,0.004456,0.004456,0.004456
58,10004.6,1.09416,0.93999,1.2754,0.57241,0.50729,0.5441,0.38033,1.14401,0.97838,1.27877,0.004357,0.004357,0.004357
59,10176.9,1.11626,0.9417,1.27933,0.61443,0.51703,0.56216,0.39128,1.13314,0.96278,1.2672,0.004258,0.004258,0.004258
60,10349,1.09747,0.92763,1.27188,0.61535,0.50183,0.55662,0.38892,1.13314,0.95608,1.27134,0.004159,0.004159,0.004159
61,10521.2,1.08418,0.91608,1.26873,0.62347,0.50796,0.55596,0.38842,1.13117,0.95821,1.27425,0.00406,0.00406,0.00406
62,10693.3,1.09888,0.91881,1.26844,0.59209,0.5128,0.54947,0.38457,1.13132,0.96527,1.27128,0.003961,0.003961,0.003961
63,10865.1,1.08915,0.91903,1.26794,0.61565,0.50877,0.55537,0.38746,1.13007,0.96491,1.27091,0.003862,0.003862,0.003862
64,11037,1.09505,0.89471,1.26235,0.59093,0.5224,0.54922,0.38147,1.12365,0.97702,1.26661,0.003763,0.003763,0.003763
